season,tournament,date,home_team,away_team,home_score,away_score,venue,espn_match_id
2016,Rugby Championship / Tri Nations,2016-09-17,Australia,Argentina,36,20,HBF Park,289315
2016,Rugby Championship / Tri Nations,2016-10-01,South Africa,Australia,18,10,Loftus Versfeld,281089
2016,Rugby Championship / Tri Nations,2016-10-01,Argentina,New Zealand,17,36,Estadio José Amalfitani,289316
2016,Rugby Championship / Tri Nations,2016-10-08,South Africa,New Zealand,15,57,Hollywoodbets Kings Park,281091
2016,Rugby Championship / Tri Nations,2016-10-08,Argentina,Australia,21,33,Allianz Stadium,289317
2016,International Test Match,2016-10-22,New Zealand,Australia,37,10,Eden Park,600592
2016,International Test Match,2016-11-05,Japan,Argentina,20,54,Prince Chichibu Memorial Stadium,600593
2016,International Test Match,2016-11-05,Wales,Australia,8,32,Principality Stadium,600594
2016,International Test Match,2016-11-05,Ireland,New Zealand,40,29,Soldier Field,600595
2016,International Test Match,2016-11-12,Georgia,Japan,22,28,Mikheil Meskhi Stadium,600596
2016,International Test Match,2016-11-12,Italy,New Zealand,10,68,Stadio Olimpico,600597
2016,International Test Match,2016-11-12,England,South Africa,37,21,Allianz Stadium,600598
2016,International Test Match,2016-11-12,Scotland,Australia,22,23,Scottish Gas Murrayfield,600599
2016,International Test Match,2016-11-12,Spain,Tonga,13,28,Universitaria Complutense,600600
2016,International Test Match,2016-11-12,Romania,United States of America,23,10,Stadionul National Arcul de Triumf,600601
2016,International Test Match,2016-11-12,France,Samoa,52,8,Stadium de Toulouse,600602
2016,International Test Match,2016-11-12,Wales,Argentina,24,20,Principality Stadium,600603
2016,International Test Match,2016-11-12,Ireland,Canada,52,21,Aviva Stadium,600604
2016,International Test Match,2016-11-19,Georgia,Samoa,20,16,Mikheil Meskhi Stadium,600605
2016,International Test Match,2016-11-19,Italy,South Africa,20,18,Stadio Artemio Franchi,600606
2016,International Test Match,2016-11-19,England,Fiji,58,15,Allianz Stadium,600607
2016,International Test Match,2016-11-19,Wales,Japan,33,30,Principality Stadium,600608
2016,International Test Match,2016-11-19,Romania,Canada,21,16,Stadionul National Arcul de Triumf,600609
2016,International Test Match,2016-11-19,Tonga,United States of America,20,17,Reale Arena,600610
2016,International Test Match,2016-11-19,Scotland,Argentina,19,16,Scottish Gas Murrayfield,600611
2016,International Test Match,2016-11-19,Ireland,New Zealand,9,21,Aviva Stadium,600612
2016,International Test Match,2016-11-19,France,Australia,23,25,Stade de France,600613
2016,International Test Match,2016-11-25,Samoa,Canada,25,23,Stade des Alpes,600614
2016,International Test Match,2016-11-26,Italy,Tonga,17,19,"Stadio Euganeo, Padova",600615
2016,International Test Match,2016-11-26,Fiji,Japan,38,25,Stade de la Rabine,600616
2016,International Test Match,2016-11-26,Scotland,Georgia,43,16,"Rugby Park, Kilmarnock",600617
2016,International Test Match,2016-11-26,England,Argentina,27,14,Allianz Stadium,600618
2016,International Test Match,2016-11-26,Romania,Uruguay,36,10,Stadionul National Arcul de Triumf,600619
2016,International Test Match,2016-11-26,Wales,South Africa,27,13,Principality Stadium,600620
2016,International Test Match,2016-11-26,Ireland,Australia,27,24,Aviva Stadium,600621
2016,International Test Match,2016-11-26,France,New Zealand,19,24,Stade de France,600622
2016,International Test Match,2016-12-03,England,Australia,37,21,Allianz Stadium,600623
2016-17,Six Nations,2017-02-04,Scotland,Ireland,27,22,Scottish Gas Murrayfield,290767
2016-17,Six Nations,2017-02-04,England,France,19,16,Allianz Stadium,290768
2016-17,Six Nations,2017-02-05,Italy,Wales,7,33,Stadio Olimpico,290904
2016-17,Six Nations,2017-02-11,Italy,Ireland,10,63,Stadio Olimpico,290905
2016-17,Six Nations,2017-02-11,Wales,England,16,21,Principality Stadium,290906
2016-17,Six Nations,2017-02-12,France,Scotland,22,16,Stade de France,290907
2016-17,Six Nations,2017-02-25,Scotland,Wales,29,13,Scottish Gas Murrayfield,290908
2016-17,Six Nations,2017-02-25,Ireland,France,19,9,Aviva Stadium,290909
2016-17,Six Nations,2017-02-26,England,Italy,36,15,Allianz Stadium,290910
2016-17,Six Nations,2017-03-10,Wales,Ireland,22,9,Principality Stadium,290911
2016-17,Six Nations,2017-03-11,Italy,France,18,40,Stadio Olimpico,290912
2016-17,Six Nations,2017-03-11,England,Scotland,61,21,Allianz Stadium,290913
2016-17,Six Nations,2017-03-18,Scotland,Italy,29,0,Scottish Gas Murrayfield,290914
2016-17,Six Nations,2017-03-18,France,Wales,20,18,Stade de France,290915
2016-17,Six Nations,2017-03-18,Ireland,England,13,9,Aviva Stadium,290916
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,7,13,Semenoff Stadium,290594
2017,British & Irish Lions,2017-06-07,Blues,British and Irish Lions,22,16,Eden Park,290595
2017,British & Irish Lions,2017-06-10,Crusaders,British and Irish Lions,3,12,Apollo Projects Stadium,290596
2017,International Test Match,2017-06-10,Australia,Fiji,37,14,AAMI Park,600624
2017,International Test Match,2017-06-10,Japan,Romania,33,21,Egao Health (Umakana Yokana) Stadium,600625
2017,International Test Match,2017-06-10,Italy,Scotland,13,34,Singapore National Stadium,600626
2017,International Test Match,2017-06-10,South Africa,France,37,14,Loftus Versfeld,600627
2017,International Test Match,2017-06-10,Argentina,England,34,38,Estadio Bicentenario,600628
2017,International Test Match,2017-06-10,United States of America,Ireland,19,55,Red Bull Arena,600629
2017,International Test Match,2017-06-10,Canada,Georgia,0,13,Calgary Rugby Park,600630
2017,British & Irish Lions,2017-06-13,Highlanders,British and Irish Lions,23,22,Forsyth Barr Stadium,290597
2017,International Test Match,2017-06-16,Tonga,Wales,6,24,Eden Park,600631
2017,International Test Match,2017-06-16,New Zealand,Samoa,78,0,Eden Park,600632
2017,British & Irish Lions,2017-06-17,New Zealand Maori,British and Irish Lions,10,32,Rotorua International Stadium,290598
2017,International Test Match,2017-06-17,Fiji,Italy,22,19,HFC Bank Stadium,600633
2017,International Test Match,2017-06-17,Japan,Ireland,22,50,ECOPA (Ogasayama) Stadium,600634
2017,International Test Match,2017-06-17,Australia,Scotland,19,24,Allianz Stadium,600635
2017,International Test Match,2017-06-17,South Africa,France,37,15,Hollywoodbets Kings Park,600636
2017,International Test Match,2017-06-17,Argentina,England,25,35,"Estadio CA Colon, Santa Fe",600637
2017,International Test Match,2017-06-17,Canada,Romania,9,25,"Ellerslie Park, Edmonton",600638
2017,International Test Match,2017-06-17,United States of America,Georgia,17,21,Fifth Third Bank Stadium,600639
2017,British & Irish Lions,2017-06-20,Chiefs,British and Irish Lions,6,34,FMG Stadium Waikato,290599
2017,International Test Match,2017-06-23,Samoa,Wales,17,19,Apia Park,600640
2017,British & Irish Lions,2017-06-24,New Zealand,British and Irish Lions,30,15,Eden Park,290600
2017,International Test Match,2017-06-24,Fiji,Scotland,27,22,HFC Bank Stadium,600641
2017,International Test Match,2017-06-24,Australia,Italy,40,27,Suncorp Stadium,600642
2017,International Test Match,2017-06-24,Japan,Ireland,13,35,Ajinomoto Stadium,600643
2017,International Test Match,2017-06-24,South Africa,France,35,12,Ellis Park,600644
2017,International Test Match,2017-06-24,Romania,Brazil,56,5,Stadionul National Arcul de Triumf,600645
2017,International Test Match,2017-06-24,Canada,United States of America,28,28,Tim Hortons Field,600646
2017,International Test Match,2017-06-24,Argentina,Georgia,45,29,Estadio 23 de Agosto,600647
2017,British & Irish Lions,2017-06-27,Hurricanes,British and Irish Lions,31,31,Sky Stadium,290601
2017,British & Irish Lions,2017-07-01,New Zealand,British and Irish Lions,21,24,Sky Stadium,290602
2017,International Test Match,2017-07-01,United States of America,Canada,52,16,Torero Stadium,600648
2017,British & Irish Lions,2017-07-08,New Zealand,British and Irish Lions,15,15,Eden Park,290603
2017,Rugby Championship / Tri Nations,2017-08-19,Australia,New Zealand,34,54,Accor Stadium,291158
2017,Rugby Championship / Tri Nations,2017-08-19,South Africa,Argentina,37,15,Nelson Mandela Bay Stadium,291159
2017,Rugby Championship / Tri Nations,2017-08-26,New Zealand,Australia,35,29,Forsyth Barr Stadium,291160
2017,Rugby Championship / Tri Nations,2017-08-26,Argentina,South Africa,23,41,Estadio Padre Ernesto Martearena,291161
2017,Rugby Championship / Tri Nations,2017-09-09,New Zealand,Argentina,39,22,Stadium Taranaki,291163
2017,Rugby Championship / Tri Nations,2017-09-09,Australia,South Africa,23,23,HBF Park,291162
2017,Rugby Championship / Tri Nations,2017-09-16,New Zealand,South Africa,57,0,North Harbour Stadium,291165
2017,Rugby Championship / Tri Nations,2017-09-16,Australia,Argentina,45,20,GIO Stadium,291164
2017,Rugby Championship / Tri Nations,2017-10-07,South Africa,New Zealand,24,25,DHL Newlands,291168
2017,Rugby Championship / Tri Nations,2017-10-07,Argentina,Australia,20,37,Estadio Malvinas Argentinas,291169
2017,International Test Match,2017-10-21,Australia,New Zealand,23,18,Suncorp Stadium,600649
2017,International Test Match,2017-11-04,Japan,Australia,30,63,International Stadium Yokohama,600650
2017,International Test Match,2017-11-11,Italy,Fiji,19,10,Stadio Angelo Massimino,600651
2017,International Test Match,2017-11-11,Georgia,Canada,54,22,Mikheil Meskhi Stadium,600652
2017,International Test Match,2017-11-11,Germany,Brazil,45,12,Bruno-Plache-Stadion,600653
2017,International Test Match,2017-11-11,Scotland,Samoa,44,38,Scottish Gas Murrayfield,600654
2017,International Test Match,2017-11-11,England,Argentina,21,8,Allianz Stadium,600655
2017,International Test Match,2017-11-11,Wales,Australia,21,29,Principality Stadium,600656
2017,International Test Match,2017-11-11,Ireland,South Africa,38,3,Aviva Stadium,600657
2017,International Test Match,2017-11-11,France,New Zealand,18,38,Stade de France,600658
2017,International Test Match,2017-11-18,Italy,Argentina,15,31,Stadio Artemio Franchi,600659
2017,International Test Match,2017-11-18,Namibia,Uruguay,36,52,Hage Geingob Stadium,600660
2017,International Test Match,2017-11-18,Belgium,Brazil,19,23,Petit Heysel,600661
2017,International Test Match,2017-11-18,Wales,Georgia,13,6,Principality Stadium,600662
2017,International Test Match,2017-11-18,Spain,Canada,27,37,Estadio Nacional Complutense,600663
2017,International Test Match,2017-11-18,England,Australia,30,6,Allianz Stadium,600664
2017,International Test Match,2017-11-18,Romania,Samoa,17,13,Stadionul National Arcul de Triumf,600665
2017,International Test Match,2017-11-18,Germany,United States of America,17,46,Brita-Arena,600666
2017,International Test Match,2017-11-18,Japan,Tonga,39,6,Stade Ernest-Wallon,600667
2017,International Test Match,2017-11-18,Scotland,New Zealand,17,22,Scottish Gas Murrayfield,600668
2017,International Test Match,2017-11-18,Ireland,Fiji,23,20,Aviva Stadium,600669
2017,International Test Match,2017-11-18,France,South Africa,17,18,Stade de France,600670
2017,International Test Match,2017-11-25,Italy,South Africa,6,35,"Stadio Euganeo, Padova",600671
2017,International Test Match,2017-11-25,Georgia,United States of America,21,20,Mikheil Meskhi Stadium,600672
2017,International Test Match,2017-11-25,Namibia,Uruguay,34,39,Hage Geingob Stadium,600673
2017,International Test Match,2017-11-25,Germany,Chile,10,32,Sparda Bank Hessen Stadium,600674
2017,International Test Match,2017-11-25,Scotland,Australia,53,24,Scottish Gas Murrayfield,600675
2017,International Test Match,2017-11-25,England,Samoa,48,14,Allianz Stadium,600676
2017,International Test Match,2017-11-25,Spain,Brazil,67,28,Estadio El Pantano,600677
2017,International Test Match,2017-11-25,Romania,Tonga,20,25,Stadionul National Arcul de Triumf,600678
2017,International Test Match,2017-11-25,Fiji,Canada,57,17,Parc des Sports et de l'Amitie,600679
2017,International Test Match,2017-11-25,Wales,New Zealand,18,33,Principality Stadium,600680
2017,International Test Match,2017-11-25,Ireland,Argentina,28,19,Aviva Stadium,600681
2017,International Test Match,2017-11-25,France,Japan,23,23,Paris La Defense Arena,600682
2017,International Test Match,2017-12-02,Wales,South Africa,24,22,Principality Stadium,600683
2017-18,Six Nations,2018-02-03,Wales,Scotland,34,7,Principality Stadium,291689
2017-18,Six Nations,2018-02-03,France,Ireland,13,15,Stade de France,291690
2018,International Test Match,2018-02-03,Uruguay,Canada,32,31,Estadio Charrua,600684
2017-18,Six Nations,2018-02-04,Italy,England,15,46,Stadio Olimpico,291691
2017-18,Six Nations,2018-02-10,Ireland,Italy,56,19,Aviva Stadium,291692
2017-18,Six Nations,2018-02-10,England,Wales,12,6,Allianz Stadium,291693
2017-18,Six Nations,2018-02-11,Scotland,France,32,26,Scottish Gas Murrayfield,291694
2017-18,Six Nations,2018-02-23,France,Italy,34,17,Orange Velodrome,291695
2017-18,Six Nations,2018-02-24,Ireland,Wales,37,27,Aviva Stadium,291696
2017-18,Six Nations,2018-02-24,Scotland,England,25,13,Scottish Gas Murrayfield,291697
2017-18,Six Nations,2018-03-10,Ireland,Scotland,28,8,Aviva Stadium,291698
2017-18,Six Nations,2018-03-10,France,England,22,16,Stade de France,291699
2017-18,Six Nations,2018-03-11,Wales,Italy,38,14,Principality Stadium,291700
2017-18,Six Nations,2018-03-17,Italy,Scotland,27,29,Stadio Olimpico,291701
2017-18,Six Nations,2018-03-17,England,Ireland,15,24,Allianz Stadium,291702
2017-18,Six Nations,2018-03-17,Wales,France,14,13,Principality Stadium,291703
2018,International Test Match,2018-06-02,South Africa,Wales,20,22,RFK Stadium,600685
2018,International Test Match,2018-06-09,Japan,Italy,34,17,Showa Denko Dome Oita,600686
2018,International Test Match,2018-06-09,New Zealand,France,52,11,Eden Park,600687
2018,International Test Match,2018-06-09,Australia,Ireland,18,9,Suncorp Stadium,600688
2018,International Test Match,2018-06-09,South Africa,England,42,39,Ellis Park,600689
2018,International Test Match,2018-06-09,Argentina,Wales,10,23,Estadio Bicentenario,600690
2018,International Test Match,2018-06-10,United States of America,Russia,62,13,Dick's Sporting Goods Park,600691
2018,International Test Match,2018-06-10,Canada,Scotland,10,48,Commonwealth Stadium,600692
2018,International Test Match,2018-06-16,Japan,Italy,22,25,Kobe Misaki Stadium,600693
2018,International Test Match,2018-06-16,New Zealand,France,26,13,Sky Stadium,600694
2018,International Test Match,2018-06-16,Australia,Ireland,21,26,AAMI Park,600695
2018,International Test Match,2018-06-16,Germany,Portugal,16,13,Fritz-Grunebaum Sportpark,600696
2018,International Test Match,2018-06-16,South Africa,England,23,12,Toyota Stadium,600697
2018,International Test Match,2018-06-16,Argentina,Wales,12,30,Estadio Brigadier General Estanislao López,600698
2018,International Test Match,2018-06-16,Canada,Russia,20,43,"Twin Elm Park, Winnipeg",600699
2018,International Test Match,2018-06-17,United States of America,Scotland,30,29,BBVA Compass Stadium,600700
2018,International Test Match,2018-06-23,Fiji,Tonga,19,27,HFC Bank Stadium,600701
2018,International Test Match,2018-06-23,Japan,Georgia,28,0,City of Toyota Stadium,600702
2018,International Test Match,2018-06-23,New Zealand,France,49,14,Forsyth Barr Stadium,600703
2018,International Test Match,2018-06-23,Australia,Ireland,16,20,Allianz Stadium,600704
2018,International Test Match,2018-06-23,South Africa,England,10,25,DHL Newlands,600705
2018,International Test Match,2018-06-23,Canada,United States of America,17,42,"Wanderers Grounds, Halifax, Nova Scotia",600706
2018,International Test Match,2018-06-23,Argentina,Scotland,15,44,"Estadio Centenario, Montevideo, Uruguay",600707
2018,International Test Match,2018-06-30,Samoa,Germany,66,15,Apia Park,600708
2018,International Test Match,2018-07-14,Germany,Samoa,28,42,Fritz-Grunebaum Sportpark,600709
2018,Rugby Championship / Tri Nations,2018-08-18,Australia,New Zealand,13,38,Accor Stadium,292786
2018,Rugby Championship / Tri Nations,2018-08-18,South Africa,Argentina,34,21,Hollywoodbets Kings Park,292787
2018,Rugby Championship / Tri Nations,2018-08-25,New Zealand,Australia,40,12,Eden Park,292788
2018,Rugby Championship / Tri Nations,2018-08-25,Argentina,South Africa,32,19,Estadio Malvinas Argentinas,292789
2018,Rugby Championship / Tri Nations,2018-09-08,New Zealand,Argentina,46,24,Trafalgar Park,292791
2018,Rugby Championship / Tri Nations,2018-09-08,Australia,South Africa,23,18,Suncorp Stadium,292790
2018,Rugby Championship / Tri Nations,2018-09-15,New Zealand,South Africa,34,36,Sky Stadium,292793
2018,Rugby Championship / Tri Nations,2018-09-15,Australia,Argentina,19,23,Cbus Super Stadium,292792
2018,Rugby Championship / Tri Nations,2018-09-29,South Africa,Australia,23,12,Nelson Mandela Bay Stadium,292794
2018,Rugby Championship / Tri Nations,2018-09-29,Argentina,New Zealand,17,35,Estadio José Amalfitani,292795
2018,Rugby Championship / Tri Nations,2018-10-06,South Africa,New Zealand,30,32,Loftus Versfeld,292796
2018,Rugby Championship / Tri Nations,2018-10-06,Argentina,Australia,34,45,Estadio Padre Ernesto Martearena,292797
2018,International Test Match,2018-10-20,Kenya,Namibia,0,0,,600710
2018,International Test Match,2018-10-27,New Zealand,Australia,37,20,International Stadium Yokohama,600711
2018,International Test Match,2018-11-03,Japan,New Zealand,31,69,Ajinomoto Stadium,600712
2018,International Test Match,2018-11-03,Romania,Kenya,36,5,"Stadionul Ghencea II, Bucharest",600713
2018,International Test Match,2018-11-03,Wales,Scotland,21,10,Principality Stadium,600714
2018,International Test Match,2018-11-03,England,South Africa,12,11,Allianz Stadium,600715
2018,International Test Match,2018-11-03,Ireland,Italy,54,7,Soldier Field,600716
2018,International Test Match,2018-11-10,Russia,Namibia,47,20,Kuban Stadium,600717
2018,International Test Match,2018-11-10,Romania,Portugal,36,6,Arena Zimbrilor,600718
2018,International Test Match,2018-11-10,Italy,Georgia,28,17,Stadio Artemio Franchi,600719
2018,International Test Match,2018-11-10,Scotland,Fiji,54,17,Scottish Gas Murrayfield,600720
2018,International Test Match,2018-11-10,England,New Zealand,15,16,Allianz Stadium,600721
2018,International Test Match,2018-11-10,Wales,Australia,9,6,Principality Stadium,600722
2018,International Test Match,2018-11-10,United States of America,Samoa,30,29,Reale Arena,600723
2018,International Test Match,2018-11-10,Ireland,Argentina,28,17,Aviva Stadium,600724
2018,International Test Match,2018-11-10,France,South Africa,26,29,Stade de France,600725
2018,International Test Match,2018-11-17,Romania,United States of America,5,31,"Stadionul Ghencea II, Bucharest",600726
2018,International Test Match,2018-11-17,Uruguay,Fiji,7,68,4ED Hartpury Stadium with Vodafone,600727
2018,International Test Match,2018-11-17,Georgia,Samoa,27,19,Avchala Stadium,600728
2018,International Test Match,2018-11-17,Italy,Australia,7,26,"Stadio Euganeo, Padova",600729
2018,International Test Match,2018-11-17,Wales,Tonga,74,24,Principality Stadium,600730
2018,International Test Match,2018-11-17,Spain,Namibia,34,13,Universitaria Complutense,600731
2018,International Test Match,2018-11-17,England,Japan,35,15,Allianz Stadium,600732
2018,International Test Match,2018-11-17,Scotland,South Africa,20,26,Scottish Gas Murrayfield,600733
2018,International Test Match,2018-11-17,Ireland,New Zealand,16,9,Aviva Stadium,600734
2018,International Test Match,2018-11-17,France,Argentina,28,13,Stade Pierre Mauroy,600735
2018,International Test Match,2018-11-24,Romania,Uruguay,20,27,"Stadionul Lascar Ghinet, Baia Mare",600736
2018,International Test Match,2018-11-24,Georgia,Tonga,20,9,Mikheil Meskhi Stadium,600737
2018,International Test Match,2018-11-24,Italy,New Zealand,3,66,Stadio Olimpico,600738
2018,International Test Match,2018-11-24,Russia,Japan,27,32,Kingsholm,600739
2018,International Test Match,2018-11-24,Scotland,Argentina,14,9,Scottish Gas Murrayfield,600740
2018,International Test Match,2018-11-24,Spain,Samoa,10,28,Estadio Nacional Complutense,600741
2018,International Test Match,2018-11-24,Portugal,Namibia,23,29,Estadio Municipal do Taveiro,600742
2018,International Test Match,2018-11-24,England,Australia,37,18,Allianz Stadium,600743
2018,International Test Match,2018-11-24,Wales,South Africa,20,11,Principality Stadium,600744
2018,International Test Match,2018-11-24,Ireland,United States of America,57,14,Aviva Stadium,600745
2018,International Test Match,2018-11-24,France,Fiji,14,21,Stade de France,600746
2018-19,Six Nations,2019-02-01,France,Wales,19,24,Stade de France,294246
2018-19,Six Nations,2019-02-02,Scotland,Italy,33,20,Scottish Gas Murrayfield,294247
2018-19,Six Nations,2019-02-02,Ireland,England,20,32,Aviva Stadium,294248
2018-19,Six Nations,2019-02-09,Scotland,Ireland,13,22,Scottish Gas Murrayfield,294249
2018-19,Six Nations,2019-02-09,Italy,Wales,15,26,Stadio Olimpico,294250
2018-19,Six Nations,2019-02-10,England,France,44,8,Allianz Stadium,294251
2018-19,Six Nations,2019-02-23,France,Scotland,27,10,Stade de France,294252
2018-19,Six Nations,2019-02-23,Wales,England,21,13,Principality Stadium,294253
2018-19,Six Nations,2019-02-24,Italy,Ireland,16,26,Stadio Olimpico,294254
2018-19,Six Nations,2019-03-09,Scotland,Wales,11,18,Scottish Gas Murrayfield,294255
2018-19,Six Nations,2019-03-09,England,Italy,57,14,Allianz Stadium,294256
2018-19,Six Nations,2019-03-10,Ireland,France,26,14,Aviva Stadium,294257
2018-19,Six Nations,2019-03-16,Italy,France,14,25,Stadio Olimpico,294258
2018-19,Six Nations,2019-03-16,Wales,Ireland,25,7,Principality Stadium,294259
2018-19,Six Nations,2019-03-16,England,Scotland,38,38,Allianz Stadium,294260
2019,International Test Match,2019-06-08,Chile,Romania,11,27,Estadio Elías Figueroa Brander,600747
2019,International Test Match,2019-06-08,Brazil,Spain,16,22,Municipal Stadium José Liberatti,600748
2019,International Test Match,2019-06-15,Germany,Portugal,32,37,Sportanlage an der Feldgerichtstrasse,600749
2019,International Test Match,2019-06-15,Chile,Spain,22,29,Estadio la Granja,600750
2019,International Test Match,2019-06-15,Brazil,Romania,21,22,Estadio Jayme Cintra,600751
2019,International Test Match,2019-06-22,Uruguay,Spain,21,41,Estadio Charrua,600752
2019,Rugby Championship / Tri Nations,2019-07-20,South Africa,Australia,35,17,Ellis Park,294507
2019,Rugby Championship / Tri Nations,2019-07-20,Argentina,New Zealand,16,20,Estadio José Amalfitani,294508
2019,Rugby Championship / Tri Nations,2019-07-27,New Zealand,South Africa,16,16,Sky Stadium,294510
2019,Rugby Championship / Tri Nations,2019-07-27,Australia,Argentina,16,10,Suncorp Stadium,294509
2019,Rugby Championship / Tri Nations,2019-08-10,Australia,New Zealand,47,26,Optus Stadium,294511
2019,Rugby Championship / Tri Nations,2019-08-10,Argentina,South Africa,13,46,Estadio Padre Ernesto Martearena,294512
2019,International Test Match,2019-08-10,Ireland,Italy,29,10,Aviva Stadium,600753
2019,International Test Match,2019-08-11,England,Wales,33,19,Allianz Stadium,600754
2019,International Test Match,2019-08-17,New Zealand,Australia,36,0,Eden Park,600755
2019,International Test Match,2019-08-17,Wales,England,13,6,Principality Stadium,600756
2019,International Test Match,2019-08-17,South Africa,Argentina,24,18,Loftus Versfeld,600757
2019,International Test Match,2019-08-17,Italy,Russia,85,15,Stadio Riviera delle Palme,600758
2019,International Test Match,2019-08-17,France,Scotland,32,3,Allianz Riviera,600759
2019,International Test Match,2019-08-24,Scotland,France,17,14,Scottish Gas Murrayfield,600760
2019,International Test Match,2019-08-24,England,Ireland,57,15,Allianz Stadium,600761
2019,International Test Match,2019-08-30,France,Italy,47,19,Stade de France,600762
2019,International Test Match,2019-08-30,Uruguay,Brazil,43,5,Estadio Charrua,600763
2019,International Test Match,2019-08-31,Fiji,Tonga,29,19,Eden Park,600764
2019,International Test Match,2019-09-06,Japan,South Africa,7,41,Kumagaya Rugby Stadium,600767
2019,International Test Match,2019-09-06,Scotland,Georgia,36,9,Scottish Gas Murrayfield,600768
2019,International Test Match,2019-09-06,England,Italy,37,0,St James' Park,600769
2019,International Test Match,2019-09-07,New Zealand,Tonga,92,7,FMG Stadium Waikato,600770
2019,International Test Match,2019-09-07,Australia,Samoa,34,15,CommBank Stadium,600771
2019,International Test Match,2019-09-07,Ireland,Wales,19,10,Aviva Stadium,600772
2019,International Test Match,2019-09-08,Canada,United States of America,15,20,BC Place,600773
2019,Rugby World Cup,2019-09-20,Japan,Russia,30,10,Ajinomoto Stadium,292888
2019,Rugby World Cup,2019-09-21,Australia,Fiji,39,21,Daiwa House Premist Dome,292889
2019,Rugby World Cup,2019-09-21,France,Argentina,23,21,Ajinomoto Stadium,292890
2019,Rugby World Cup,2019-09-21,New Zealand,South Africa,23,13,International Stadium Yokohama,292891
2019,Rugby World Cup,2019-09-22,Italy,Namibia,47,22,Hanazono Rugby Stadium,292892
2019,Rugby World Cup,2019-09-22,Ireland,Scotland,27,3,International Stadium Yokohama,292893
2019,Rugby World Cup,2019-09-22,England,Tonga,35,3,Daiwa House Premist Dome,292894
2019,Rugby World Cup,2019-09-23,Wales,Georgia,43,14,City of Toyota Stadium,292895
2019,Rugby World Cup,2019-09-24,Russia,Samoa,9,34,Kumagaya Rugby Stadium,292896
2019,Rugby World Cup,2019-09-25,Fiji,Uruguay,27,30,Kamaishi Recovery Memorial Stadium,292897
2019,Rugby World Cup,2019-09-26,Italy,Canada,48,7,Best Denki Stadium,292898
2019,Rugby World Cup,2019-09-26,England,United States of America,45,7,Kobe Misaki Stadium,292899
2019,Rugby World Cup,2019-09-28,Argentina,Tonga,28,12,Hanazono Rugby Stadium,292900
2019,Rugby World Cup,2019-09-28,Japan,Ireland,19,12,Shizuoka Stadium Ecopa,292901
2019,Rugby World Cup,2019-09-28,South Africa,Namibia,57,3,City of Toyota Stadium,292902
2019,Rugby World Cup,2019-09-29,Georgia,Uruguay,33,7,Kumagaya Rugby Stadium,292903
2019,Rugby World Cup,2019-09-29,Australia,Wales,25,29,Ajinomoto Stadium,292904
2019,Rugby World Cup,2019-09-30,Scotland,Samoa,34,0,Kobe Misaki Stadium,292905
2019,Rugby World Cup,2019-10-02,France,United States of America,33,9,Best Denki Stadium,292906
2019,Rugby World Cup,2019-10-02,New Zealand,Canada,63,0,Showa Denko Dome Oita,292907
2019,Rugby World Cup,2019-10-03,Georgia,Fiji,10,45,Hanazono Rugby Stadium,292908
2019,Rugby World Cup,2019-10-03,Ireland,Russia,35,0,Kobe Misaki Stadium,292909
2019,Rugby World Cup,2019-10-04,South Africa,Italy,49,3,Shizuoka Stadium Ecopa,292910
2019,Rugby World Cup,2019-10-05,Australia,Uruguay,45,10,Showa Denko Dome Oita,292911
2019,Rugby World Cup,2019-10-05,England,Argentina,39,10,Ajinomoto Stadium,292912
2019,Rugby World Cup,2019-10-05,Japan,Samoa,38,19,City of Toyota Stadium,292913
2019,Rugby World Cup,2019-10-06,New Zealand,Namibia,71,9,Ajinomoto Stadium,292914
2019,Rugby World Cup,2019-10-06,France,Tonga,23,21,Egao Health (Umakana Yokana) Stadium,292915
2019,Rugby World Cup,2019-10-08,South Africa,Canada,66,7,Kobe Misaki Stadium,292916
2019,Rugby World Cup,2019-10-09,Argentina,United States of America,47,17,Kumagaya Rugby Stadium,292917
2019,Rugby World Cup,2019-10-09,Scotland,Russia,61,0,Shizuoka Stadium Ecopa,292918
2019,Rugby World Cup,2019-10-09,Wales,Fiji,29,17,Showa Denko Dome Oita,292919
2019,Rugby World Cup,2019-10-11,Australia,Georgia,27,8,Shizuoka Stadium Ecopa,292920
2019,Rugby World Cup,2019-10-12,New Zealand,Italy,0,0,City of Toyota Stadium,292921
2019,Rugby World Cup,2019-10-12,England,France,0,0,International Stadium Yokohama,292922
2019,Rugby World Cup,2019-10-12,Ireland,Samoa,47,5,Best Denki Stadium,292923
2019,Rugby World Cup,2019-10-13,Namibia,Canada,0,0,Kamaishi Recovery Memorial Stadium,292924
2019,Rugby World Cup,2019-10-13,United States of America,Tonga,19,31,Hanazono Rugby Stadium,292925
2019,Rugby World Cup,2019-10-13,Wales,Uruguay,35,13,Egao Health (Umakana Yokana) Stadium,292926
2019,Rugby World Cup,2019-10-13,Japan,Scotland,28,21,International Stadium Yokohama,292927
2019,Rugby World Cup,2019-10-19,England,Australia,40,16,Showa Denko Dome Oita,292930
2019,Rugby World Cup,2019-10-19,New Zealand,Ireland,46,14,Ajinomoto Stadium,292931
2019,Rugby World Cup,2019-10-20,Wales,France,20,19,Showa Denko Dome Oita,292932
